Sample;Field_ID;Filter_Type;Date;Richness
F1;S22_D3;M6;D3;0
F10;S27_D3;M6;D3;1
F14;S25_D1;F7_LF;D1;0
F15;S11_D1;M6;D1;3
F16;S21_D3;M6;D3;4
F17;S21_D2;F7_LF;D2;0
F18;S18_D3;M6;D3;0
F19;S19_D3;F7_FB;D3;0
F2;S16_D3;M6;D3;1
F20;S16_D1;F7_LF;D1;0
F21;S26_D2;F8;D2;1
F23;S12_D3;F7_LF;D3;1
F24;S15_D1;M6;D1;2
F26;S25_D2;F8;D2;0
F27;S24_D3;F7_FB;D3;0
F28;S7_D2;F8;D2;1
F29;S8_D1;F8;D1;0
F3;S26_D1;F7_FB;D1;0
F30;S14_D1;F7_FB;D1;0
F31;S2_D2;F7_LF;D2;1
F32;S23_D1;F7_FB;D1;0
F33;S9_D1;F8;D1;1
F34;S17_D3;F8;D3;1
F36;S26_D3;F7_FB;D3;0
F37;S12_D1;F8;D1;1
F39;S18_D2;F7_LF;D2;0
F40;xx;F8;D3;0
F41;S13_D3;F7_LF;D3;1
F42;S20_D2;F7_FB;D2;0
F43;S6_D2;F7_FB;D2;0
F44;S25_D3;F7_LF;D3;1
F45;S10_D1;F8;D1;0
F46;S15_D3;F7_LF;D3;0
F47;S24_D2;M6;D2;3
F48;S7_D3;F7_LF;D3;0
F5;S9_D2;M6;D2;2
F50;S12_D2;F7_FB;D2;0
F52;S11_D3;F7_FB;D3;0
F53;S4_D1;F7_LF;D1;0
F54;S15_D2;F8;D2;0
F55;S13_D1;M6;D1;2
F56;S5_D3;F7_FB;D3;0
F57;S27_D1;F7_FB;D1;0
F58;S8_D3;F7_FB;D3;2
F59;S6_D1;F7_LF;D1;0
F60;S9_D3;F7_LF;D3;1
F61;S7_D1;F8;D1;0
F62;S16_D2;M6;D2;1
F63;S3_D3;M6;D3;1
F64;S4_D3;F8;D3;0
F66;S28_D2;F7_FB;D2;2
F68;S21_D1;F7_FB;D1;0
F69;S3_D1;F7_FB;D1;0
F7;S22_D1;F7_LF;D1;1
F70;S10_D3;F8;D3;0
F71;S2_D3;F8;D3;1
F72;S1_D2;F7_FB;D2;0
F73;S20_D1;F7_LF;D1;0
F74;S11_D2;F7_LF;D2;1
F75;S1_D3;F8;D3;1
F76;S13_D2;M6;D2;0
F77;S1_D1;M6;D1;1
F78;S5_D2;F7_FB;D2;2
F79;S28_D1;M6;D1;1
F8;S8_D2;F8;D2;0
F80;S19_D2;M6;D2;0
F81;S24_D1;F8;D1;0
F82;S5_D1;M6;D1;2
F83;S27_D2;F7_LF;D2;0
F84;S4_D2;M6;D2;1
F9;S14_D2;F8;D2;0
