Sample;Field_ID;Filter_Type;Date;Taxa6;Taxa8;Taxa9;Taxa10;Taxa12;Taxa14;Taxa15;Taxa16;Taxa18;Taxa20;Taxa23;Taxa24;Taxa26;Taxa35
F10;S27_D3;M6;D3;0;0;0;0;0;8219;0;0;0;0;0;0;0;0
F15;S11_D1;M6;D1;0;24736;0;0;0;0;0;0;0;0;2387;2254;0;0
F16;S21_D3;M6;D3;24573;0;0;0;0;4624;0;0;0;5218;0;0;497;0
F2;S16_D3;M6;D3;0;0;0;0;0;0;0;1758;0;0;0;0;0;0
F21;S26_D2;F8;D2;0;0;0;0;0;0;0;0;7739;0;0;0;0;0
F23;S12_D3;F7_LF;D3;0;0;0;0;5234;0;0;0;0;0;0;0;0;0
F24;S15_D1;M6;D1;0;0;0;0;0;0;0;0;0;0;1790;1850;0;0
F28;S7_D2;F8;D2;0;0;0;6732;0;0;0;0;0;0;0;0;0;0
F31;S2_D2;F7_LF;D2;0;12080;0;0;0;0;0;0;0;0;0;0;0;0
F33;S9_D1;F8;D1;0;6426;0;0;0;0;0;0;0;0;0;0;0;0
F34;S17_D3;F8;D3;0;0;0;0;0;0;0;3144;0;0;0;0;0;0
F37;S12_D1;F8;D1;0;0;0;5529;0;0;0;0;0;0;0;0;0;0
F41;S13_D3;F7_LF;D3;0;14659;0;0;0;0;0;0;0;0;0;0;0;0
F44;S25_D3;F7_LF;D3;4333;0;0;0;0;0;0;0;0;0;0;0;0;0
F47;S24_D2;M6;D2;5800;0;0;0;2618;2569;0;0;0;0;0;0;0;0
F5;S9_D2;M6;D2;0;3446;38110;0;0;0;0;0;0;0;0;0;0;0
F55;S13_D1;M6;D1;0;12817;0;24347;0;0;0;0;0;0;0;0;0;0
F58;S8_D3;F7_FB;D3;0;0;24868;0;0;13639;0;0;0;0;0;0;0;0
F60;S9_D3;F7_LF;D3;0;0;0;0;6867;0;0;0;0;0;0;0;0;0
F62;S16_D2;M6;D2;7463;0;0;0;0;0;0;0;0;0;0;0;0;0
F63;S3_D3;M6;D3;21201;0;0;0;0;0;0;0;0;0;0;0;0;0
F66;S28_D2;F7_FB;D2;46018;0;0;0;0;0;0;0;0;0;0;0;2326;0
F7;S22_D1;F7_LF;D1;0;0;0;0;0;0;0;0;0;0;0;0;0;1506
F71;S2_D3;F8;D3;13456;0;0;0;0;0;0;0;0;0;0;0;0;0
F74;S11_D2;F7_LF;D2;0;0;0;0;6560;0;0;0;0;0;0;0;0;0
F75;S1_D3;F8;D3;4736;0;0;0;0;0;0;0;0;0;0;0;0;0
F77;S1_D1;M6;D1;0;0;0;0;0;0;16672;0;0;0;0;0;0;0
F78;S5_D2;F7_FB;D2;0;8611;0;5925;0;0;0;0;0;0;0;0;0;0
F79;S28_D1;M6;D1;0;4314;0;0;0;0;0;0;0;0;0;0;0;0
F82;S5_D1;M6;D1;2953;0;3868;0;0;0;0;0;0;0;0;0;0;0
F84;S4_D2;M6;D2;0;0;0;6163;0;0;0;0;0;0;0;0;0;0
