Sample;Filter_Type;Date;Ct;PCR_Batch;DNA_conc;Richness;Chick_Prop;Chick_Prop_Trans;Wild_Bird_Prop;Wild_Bird_Prop_Trans;Tot_Wildbird_Seq;Total_sq
F1;M6;D3;31,1;Batch1;-4,769011125;10;38,77562623;0,672189635;57,36750543;0,859342463;50453;87947
F10;M6;D3;30,46666667;Batch1;-4,598407097;12;42,31015667;0,708193305;50,74407838;0,792839222;49102;96764
F14;F7_LF;D1;33,05333333;Batch1;-5,295189864;3;54,51938786;0,830653808;45,48061214;0,740142519;13641;29993
F15;M6;D1;30,03666667;Batch1;-4,482575941;9;40,85503446;0,693430812;42,86149905;0,713768392;63252;147573
F16;M6;D3;29,9;Batch1;-4,445761388;9;64,00964001;0,927395638;33,47090425;0,616938119;33332;99585
F17;F7_LF;D2;31,28333333;Batch1;-4,818396502;1;86,78751048;1,198785033;13,21248952;0,372011294;3783;28632
F18;M6;D3;30,31666667;Batch1;-4,55800088;7;58,03768799;0,866125312;38,54865012;0,669859166;42550;110380
F19;F7_FB;D3;32,15333333;Batch1;-5,052752561;4;46,58938028;0,751265462;53,41061972;0,819530865;18659;34935
F2;M6;D3;29,97333333;Batch1;-4,465515538;9;27,52732089;0,552321382;69,22524842;0,982733916;93560;135153
F20;F7_LF;D1;31,02333333;Batch1;-4,748359059;3;62,19861241;0,908628051;37,80138759;0,662168276;16509;43673
F21;F8;D2;32,72666667;Batch1;-5,207194102;2;84,86579856;1,17122116;15,13420144;0,399575167;5695;37630
F23;F7_LF;D3;32,58666667;Batch1;-5,169481633;5;37,60721916;0,660165075;62,39278084;0,910631252;19567;31361
F24;M6;D1;29,63;Batch1;-4,373030197;11;64,39432521;0,931407752;35,60567479;0,639388575;48940;137450
F26;F8;D2;31,18;Batch1;-4,790561108;4;70,65154939;0,99828801;29,34845061;0,572508316;22986;78321
F27;F7_FB;D3;31,87666667;Batch1;-4,978225539;5;39,56082481;0,680232721;55,21560379;0,837649252;17325;31377
F28;F8;D2;30,74666667;Batch1;-4,673832036;2;83,28179177;1,149570916;16,71820823;0,421225411;8920;53355
F29;F8;D1;33,22666667;Batch1;-5,341881493;3;39,97894358;0,684504287;29,40708215;0,573151924;11452;38943
F3;F7_FB;D1;31,38333333;Batch1;-4,84533398;4;42,67264101;0,711859734;57,32735899;0,858936592;32625;56910
F30;F7_FB;D1;31,02;Batch1;-4,747461143;4;53,13825276;0,816801333;40,24597116;0,687228361;18980;47160
F31;F7_LF;D2;29,89666667;Batch2;-4,315865161;7;73,49144067;1,029946586;24,66796222;0,519756171;19929;80789
F32;F7_FB;D1;31,02333333;Batch2;-4,601784883;4;52,84183936;0,81383188;47,15816064;0,756964447;30243;64131
F33;F8;D1;32,43;Batch2;-4,958761578;2;66,55463732;0,954128865;33,44536268;0,616667462;14529;43441
