OTU;Sampler;Storage_type;Richness;Cor_X;Cor_Y
A1_B;A1;Buffer;1;0,384876696;-0,064373419
A1_D;A1;Frozen;3;-0,550512729;-0,055603665
A1_W;A1;LB;1;0,384402578;-0,059914545
A10_B;A10;Buffer;1;0,38534417;-0,060625393
A10_W;A10;LB;1;0,383751268;-0,063695464
A11_D;A11;Frozen;1;-0,188373551;0,701459763
A11_W;A11;LB;1;0,384157272;-0,058420089
A12_B;A12;Buffer;1;-0,565557694;-0,125664723
A12_D;A12;Frozen;3;-0,550388806;-0,16121682
A12_W;A12;LB;1;0,386385619;-0,062377822
A13_D;A13;Frozen;2;-0,340776159;0,059064394
A13_W;A13;LB;1;0,387664416;-0,059963982
A14_D;A14;Frozen;1;-0,562309511;-0,125402091
A14_W;A14;LB;2;0,28757196;0,353178642
A15_B;A15;Buffer;1;0,385554874;-0,060874585
A15_D;A15;Frozen;2;-0,601840939;-0,198534165
A15_W;A15;LB;2;0,136326047;-0,163567324
A16_D;A16;Frozen;2;-0,604318807;-0,198424378
A16_W;A16;LB;1;0,384585448;-0,060453455
A17_D;A17;Frozen;1;-0,414633235;-0,021348781
A17_W;A17;LB;1;0,386498514;-0,060596315
A18_B;A18;Buffer;1;0,385281685;-0,06190504
A18_D;A18;Frozen;1;-0,566050168;-0,1300892
A18_W;A18;LB;1;0,383533024;-0,063013329
A19_B;A19;Buffer;3;0,116973968;-0,082716178
A19_D;A19;Frozen;3;-0,534271616;-0,13680793
A19_W;A19;LB;3;-0,152805108;-0,35880637
A2_B;A2;Buffer;1;0,386091808;-0,058995542
A2_D;A2;Frozen;2;-0,605869152;-0,198047498
A2_W;A2;LB;5;0,063548192;0,360346775
A20_B;A20;Buffer;1;0,384496593;-0,063724744
A20_D;A20;Frozen;2;-0,469921724;-0,018517014
A20_W;A20;LB;2;0,29628001;0,093444556
A3_D;A3;Frozen;1;-0,182836412;0,354541671
A3_W;A3;LB;1;0,38623154;-0,061911782
A4_B;A4;Buffer;2;0,027804885;-0,268964585
A4_D;A4;Frozen;3;-0,405466803;0,395858498
A4_W;A4;LB;1;0,385267557;-0,060331497
A5_B;A5;Buffer;1;0,383276646;-0,064351163
A5_D;A5;Frozen;3;-0,548150769;-0,162758593
A5_W;A5;LB;2;0,02429161;-0,266577504
A6_D;A6;Frozen;2;-0,173886061;0,291344964
A6_W;A6;LB;2;0,330090706;0,030893414
A7_D;A7;Frozen;3;-0,408419711;0,12305999
A7_W;A7;LB;2;0,332131401;0,027451156
A8_W;A8;LB;2;0,304636622;-0,007466399
A9_B;A9;Buffer;1;-0,157827381;0,244185097
A9_D;A9;Frozen;1;-0,188207426;0,695461695
A9_W;A9;LB;2;0,305368651;-0,004249234
