Sampler;Taxa3;Taxa7;Taxa8;Taxa9;Taxa11;Taxa12;Taxa15;Taxa18;Taxa19;Taxa20;Taxa21;Taxa23;Taxa24;Taxa25
A1;0;1652;0;2062;1852;0;0;0;0;0;0;0;0;0
A11;0;0;4173;0;0;0;0;0;0;0;0;0;0;0
A12;0;13551;0;1691;0;0;0;0;0;0;0;1536;0;0
A13;0;5754;0;0;0;0;0;3607;0;0;0;0;0;0
A14;0;0;0;4628;0;0;0;0;0;0;0;0;0;0
A15;0;6453;0;8781;0;0;0;0;0;0;0;0;0;0
A16;0;10034;0;924;0;0;0;0;0;0;0;0;0;0
A17;0;10904;0;0;0;0;0;0;0;0;0;0;0;0
A18;0;0;0;900;0;0;0;0;0;0;0;0;0;0
A19;0;5481;0;3982;0;0;0;0;0;0;0;0;45;0
A2;0;10285;0;1229;0;0;0;0;0;0;0;0;0;0
A20;0;0;0;2686;0;0;0;0;0;0;2211;0;0;0
A3;0;0;0;0;5830;0;0;0;0;0;0;0;0;0
A4;0;0;11306;2952;0;0;1276;0;0;0;0;0;0;0
A5;0;4668;0;1361;0;0;0;0;3261;0;0;0;0;0
A6;0;0;0;0;0;0;0;0;0;3075;0;0;0;1424
A7;0;0;0;1083;0;0;11152;0;0;0;629;0;0;0
A9;0;0;1571;0;0;0;0;0;0;0;0;0;0;0
