Sampler;Taxa3;Taxa7;Taxa8;Taxa9;Taxa11;Taxa12;Taxa15;Taxa18;Taxa19;Taxa20;Taxa21;Taxa23;Taxa24;Taxa25
A1;19770;0;0;0;0;0;0;0;0;0;0;0;0;0
A10;28212;0;0;0;0;0;0;0;0;0;0;0;0;0
A11;25848;0;0;0;0;0;0;0;0;0;0;0;0;0
A12;14213;0;0;0;0;0;0;0;0;0;0;0;0;0
A13;21725;0;0;0;0;0;0;0;0;0;0;0;0;0
A14;12403;0;72691;0;0;0;0;0;0;0;0;0;0;0
A15;15779;14218;0;0;0;0;0;0;0;0;0;0;0;0
A16;17747;0;0;0;0;0;0;0;0;0;0;0;0;0
A17;31440;0;0;0;0;0;0;0;0;0;0;0;0;0
A18;21656;0;0;0;0;0;0;0;0;0;0;0;0;0
A19;23257;15103;0;5342;0;0;0;0;0;0;0;0;0;0
A2;22388;10468;3368;0;11005;13314;0;0;0;0;0;0;0;0
A20;21867;0;0;0;17009;0;0;0;0;0;0;0;0;0
A3;19578;0;0;0;0;0;0;0;0;0;0;0;0;0
A4;1787;0;0;0;0;0;0;0;0;0;0;0;0;0
A5;11163;0;0;13226;0;0;0;0;0;0;0;0;0;0
A6;12996;0;0;0;0;13626;0;0;0;0;0;0;0;0
A7;18577;0;0;0;0;5097;0;0;0;0;0;0;0;0
A8;25240;0;0;0;0;0;0;0;0;0;0;0;127;0
A9;21569;0;0;0;0;0;0;0;0;0;0;0;1068;0
