Sam;Dist_m;OTU_dist;Storage_type;
1;247,051177;1;Frozen;
2;245,9753148;0,391;Frozen;
3;283,9254929;0,757;Frozen;
4;307,9315566;0,486;Frozen;
5;345,3161936;0,213;Frozen;
6;401,6158531;0,195;Frozen;
7;455,5200139;0,514;Frozen;
8;444,5834853;0,479;Frozen;
9;457,4258341;0,397;Frozen;
10;43,65457424;0,188;Frozen;
11;483,371291;0,765;Frozen;
12;60,87711872;0,522;Frozen;
13;82,63846185;0,902;Frozen;
14;104,2380903;0,412;Frozen;
15;104,0679539;1;Frozen;
16;130,0306613;0,897;Frozen;
17;199,0831526;1;Frozen;
18;23,51160224;1;Frozen;
19;44,48821114;1;Frozen;
20;60,88954689;1;Frozen;
21;98,26551231;1;Frozen;
22;155,303355;1;Frozen;
23;208,6391738;1;Frozen;
24;197,6446402;1;Frozen;
25;212,0580788;1;Frozen;
26;207,091912;1;Frozen;
27;241,1728868;1;Frozen;
28;188,7010704;1;Frozen;
29;165,4594161;0,477;Frozen;
30;143,3111256;1;Frozen;
31;146,2030015;1;Frozen;
32;122,9248082;1;Frozen;
33;48,77972207;0,224;Frozen;
34;37,95173727;0,752;Frozen;
35;66,8732678;0,524;Frozen;
36;103,0654307;0,192;Frozen;
37;162,019936;0,199;Frozen;
38;213,3830997;0,495;Frozen;
39;200,1586281;0,504;Frozen;
40;211,5183209;0,396;Frozen;
41;208,0564461;0,191;Frozen;
42;237,8823688;0,751;Frozen;
43;189,8574231;1;Frozen;
44;166,4564482;0,886;Frozen;
45;144,3128893;0,425;Frozen;
46;142,7231977;1;Frozen;
47;117,7550611;0,891;Frozen;
48;48,4651629;1;Frozen;
49;35,87248264;1;Frozen;
50;67,93486779;0,641;Frozen;
51;127,0745401;0,625;Frozen;
52;176,856629;0,362;Frozen;
53;162,7887326;1;Frozen;
54;173,5807966;0,782;Frozen;
55;245,8300277;0,58;Frozen;
56;200,1535614;1;Frozen;
57;227,5854186;1;Frozen;
58;204,1822833;1;Frozen;
59;182,0028539;0,757;Frozen;
60;180,6215422;1;Frozen;
61;155,5091193;1;Frozen;
62;85,80976722;1;Frozen;
63;37,39548459;0,36;Frozen;
64;95,44293006;0,369;Frozen;
65;147,9863754;1;Frozen;
66;136,7845159;0,19;Frozen;
67;152,155966;0,489;Frozen;
68;267,901343;0,38;Frozen;
69;183,0600503;0,359;Frozen;
70;249,5048692;1;Frozen;
71;226,302921;0,494;Frozen;
72;204,1749137;0,515;Frozen;
73;206,579014;1;Frozen;
74;182,622734;0,512;Frozen;
75;109,2153494;1;Frozen;
76;59,19440608;0,079;Frozen;
77;110,6924423;0,381;Frozen;
78;99,54708455;0,367;Frozen;
79;116,3442248;0,207;Frozen;
80;305,1750997;0,082;Frozen;
81;149,1598044;0,626;Frozen;
82;286,7767549;1;Frozen;
83;263,6098442;0,757;Frozen;
84;241,5027798;0,198;Frozen;
85;243,9009465;1;Frozen;
86;219,7909778;0,777;Frozen;
