OTU;Sampler;Storage_type;Richness;Cor_X;Cor_Y
A1_B;A1;Buffer;2;-0,616275928;0,13827524
A1_D;A1;Frozen;17;-0,03429323;-0,183123454
A1_W;A1;LB;9;0,033548359;-0,29190259
A10_B;A10;Buffer;1;0,13652766;0,416519848
A10_D;A10;Frozen;9;0,439159156;0,089461229
A11_D;A11;Frozen;6;0,417069516;-0,071692345
A11_W;A11;LB;3;0,13891039;-0,429678304
A12_D;A12;Frozen;8;0,132676233;0,047053692
A12_W;A12;LB;5;0,264087144;0,201906459
A13_D;A13;Frozen;10;0,15545112;0,062322624
A13_W;A13;LB;3;-0,154104038;0,270984685
A14_D;A14;Frozen;17;-0,024972352;0,015285589
A14_W;A14;LB;4;0,381663116;0,320159122
A15_D;A15;Frozen;13;-0,110419485;0,156435775
A15_W;A15;LB;5;-0,020199276;0,319298471
A16_D;A16;Frozen;13;0,013153767;-0,01944116
A16_W;A16;LB;4;-0,27945804;-0,252006632
A17_D;A17;Frozen;6;-0,111273454;0,461117966
A17_W;A17;LB;2;0,253748688;0,216435066
A18_D;A18;Frozen;6;0,002810949;0,313889732
A18_W;A18;LB;3;-0,416798303;-0,343321604
A19_B;A19;Buffer;2;0,137377911;-0,411121542
A19_D;A19;Frozen;11;-0,064887793;0,062148125
A19_W;A19;LB;2;0,138555408;-0,411615737
A2_D;A2;Frozen;15;0,014171406;-0,02430947
A2_W;A2;LB;8;-0,139224737;-0,131996099
A20_B;A20;Buffer;1;0,42269972;0,009936566
A20_D;A20;Frozen;12;0,107909104;0,170994748
A20_W;A20;LB;3;0,034344652;0,023763406
A3_D;A3;Frozen;11;-0,270699209;0,231396614
A3_W;A3;LB;10;-0,272727525;0,266476872
A4_B;A4;Buffer;3;-0,17952733;-0,541863538
A4_D;A4;Frozen;15;-0,019899734;0,055634799
A4_W;A4;LB;9;-0,104150319;0,036491667
A5_B;A5;Buffer;1;-0,554699682;-0,287359484
A5_D;A5;Frozen;13;0,118928873;-0,03247046
A5_W;A5;LB;6;-0,383526305;-0,193235536
A6_D;A6;Frozen;4;-0,118750429;0,558122915
A6_W;A6;LB;4;-0,430023999;-0,199513091
A7_B;A7;Buffer;1;-0,343476866;0,466340155
A7_D;A7;Frozen;13;0,174927162;-0,219463765
A7_W;A7;LB;4;-0,489582917;-0,056727849
A8_B;A8;Buffer;3;0,43350345;-0,364686717
A8_D;A8;Frozen;8;0,45340938;0,114418986
A8_W;A8;LB;3;0,322187387;-0,086673268
A9_D;A9;Frozen;8;0,038485817;-0,26910012
A9_W;A9;LB;2;0,373664582;-0,203567585
