Sam;Dist_m;OTU_dist;Storage_type;
1;223,8062757;0,789073677;Frozen;0,79
2;247,051177;0,796148377;Frozen;0,139
3;245,9753148;0,731709939;Frozen;0,598
4;283,9254929;0,6734188;Frozen;0,116
5;307,9315566;0,849751831;Frozen;0,973
6;345,3161936;0,696186379;Frozen;0,625
7;401,6158531;0,688408727;Frozen;0,335
8;455,5200139;0,811833965;Frozen;0,471
9;444,5834853;0,888739946;Frozen;0,956
10;457,4258341;0,794186738;Frozen;0,849
11;43,65457424;0,601063387;Frozen;0,415
12;483,371291;0,766500208;Frozen;0,763
13;60,87711872;0,778253632;Frozen;0,817
14;82,63846185;0,654463979;Frozen;0,395
15;104,2380903;0,736277324;Frozen;0,362
16;104,0679539;0,906018699;Frozen;0,948
17;130,0306613;0,735009862;Frozen;0,87
18;188,048409;0,876499334;Frozen;0,978
19;199,0831526;0,667126003;Frozen;0,253
20;24,89734649;0,643418305;Frozen;0,032
21;38,30703074;0,689146886;Frozen;0,149
22;68,69487891;0,681162228;Frozen;0,369
23;84,83662843;0,848164935;Frozen;0,773
24;121,9926516;0,753297278;Frozen;0,702
25;177,8353669;0,697709552;Frozen;0,138
26;231,7498136;0,77499904;Frozen;0,517
27;221,5347297;0,780446817;Frozen;0,191
28;236,6107404;0,821161518;Frozen;0,769
29;183,2181055;0,799746498;Frozen;0,311
30;266,0216275;0,746327291;Frozen;0,089
31;164,8204125;0,734383776;Frozen;0,463
32;141,7232537;0,852678219;Frozen;0,598
33;119,6978668;0,779131967;Frozen;0,386
34;124,6929998;0,908346095;Frozen;0,589
35;102,8552627;0,642131351;Frozen;0,14
36;272,4392967;0,778178901;Frozen;0,161
37;29,68909201;0,831329234;Frozen;0,444
38;23,51160224;0,473276879;Frozen;0,11
39;44,48821114;0,763935398;Frozen;0,067
40;60,88954689;0,859495402;Frozen;0,472
41;98,26551231;0,761329771;Frozen;0,183
42;155,303355;0,696416141;Frozen;0,03
43;208,6391738;0,877686007;Frozen;0,605
44;197,6446402;0,969019683;Frozen;0,904
45;212,0580788;0,698340679;Frozen;0,322
46;207,091912;0,788159001;Frozen;0,064
47;241,1728868;0,893995763;Frozen;0,437
48;188,7010704;0,86678084;Frozen;0,658
49;165,4594161;0,831720589;Frozen;0,348
50;143,3111256;0,852847487;Frozen;0,022
51;146,2030015;0,879410979;Frozen;0,777
52;122,9248082;0,643220293;Frozen;0,024
53;295,8093898;0,727898778;Frozen;0,136
54;48,77972207;0,774595895;Frozen;0,131
55;37,95173727;0,62751961;Frozen;0,065
56;66,8732678;0,788219128;Frozen;0,049
57;103,0654307;0,772373124;Frozen;0,531
58;162,019936;0,683601211;Frozen;0,046
59;213,3830997;0,775699625;Frozen;0,381
60;200,1586281;0,782822608;Frozen;0,109
61;211,5183209;0,63659539;Frozen;0,338
62;208,0564461;0,727919157;Frozen;0,127
63;237,8823688;0,794201432;Frozen;0,143
64;189,8574231;0,931007969;Frozen;0,883
65;166,4564482;0,780595331;Frozen;0,39
66;144,3128893;0,85293567;Frozen;0,53
67;142,7231977;0,860590973;Frozen;0,479
68;117,7550611;0,593161613;Frozen;0,062
69;309,540592;0,718169151;Frozen;0,678
70;48,4651629;0,720532636;Frozen;0,017
71;35,87248264;0,820237795;Frozen;0,367
72;67,93486779;0,795063376;Frozen;0,564
73;127,0745401;0,666084561;Frozen;0,088
74;176,856629;0,718577199;Frozen;0,057
75;162,7887326;0,839697937;Frozen;0,613
76;173,5807966;0,736783752;Frozen;0,65
