Taxa;SampleID;SampleSite;SampleType;Date;Taxa5;Taxa7;Taxa9;Taxa11;Taxa12;Taxa13;Taxa17;Taxa18;Taxa19;Taxa23
AF114;E2_12V;E;12v;Day2;9372;0;0;0;0;0;0;0;0;0
AF115;G3_12V;G;12v;Day3;42076;0;0;0;5417;0;0;0;0;0
AF12;I3_12V;I;12v;Day1;0;0;66794;6615;0;0;0;0;0;0
AF130;B2_12V;B;12v;Day2;0;25673;0;0;0;0;0;0;0;0
AF131;H1_12V;H;12v;Day1;5207;0;19197;0;3173;0;0;0;0;0
AF137;A2_12V;A;12v;Day2;0;15039;0;5340;3937;0;7454;0;0;6994
AF143;D2_12V;D;12v;Day2;16267;0;0;0;0;0;0;0;0;0
AF151;B1_12V;B;12v;Day1;0;0;0;0;0;0;4612;0;0;0
AF152;I2_12V;I;12v;Day2;0;0;0;0;5092;0;0;0;0;0
AF155;E3_12V;E;12v;Day3;26590;0;0;0;0;0;0;0;0;0
AF162;J1_12V;J;12v;Day1;0;0;0;0;0;10780;0;0;0;0
AF164;G1_12V;G;12v;Day1;41301;0;0;0;0;0;0;0;0;0
AF173;H3_12V;H;12v;Day3;0;0;8349;0;0;0;0;0;0;0
AF2;B3_12V;B;12v;Day3;0;4184;0;0;0;0;0;0;0;0
AF20;D1_12V;D;12v;Day1;0;0;0;0;0;0;0;0;24901;0
AF31;A1_12V;A;12v;Day1;0;0;0;0;19347;0;0;0;0;0
AF37;H2_12V;H;12v;Day2;13989;43180;0;0;2367;0;0;0;0;0
AF49;C1_12V;C;12v;Day1;0;2867;0;0;0;0;0;0;0;0
AF52;G2_12V;G;12v;Day2;30049;0;0;0;7179;0;0;0;0;0
AF67;F3_12V;F;12v;Day3;30009;0;0;0;0;0;0;10924;0;0
AF86;I1_12V;I;12v;Day1;6061;0;0;0;0;0;0;0;0;0
AF90;D3_12V;D;12v;Day3;20085;0;0;0;0;0;0;0;0;0
