OTU;SampleID;SampleSite;SampleType;Date;Richness;Cor_X;Cor_Y
AF114;E2_12V;E;12v;Day2;2;-0,240975823;0,317262005
AF115;G3_12V;G;12v;Day3;8;0,263725597;-0,016032181
AF12;I3_12V;I;12v;Day1;11;0,298892815;0,097867532
AF13;J3_12V;J;12v;Day3;7;0,329435609;0,084673066
AF130;B2_12V;B;12v;Day2;6;-0,017059007;0,167729041
AF131;H1_12V;H;12v;Day1;9;0,214466497;-0,024659064
AF137;A2_12V;A;12v;Day2;4;-0,106616175;0,006609348
AF143;D2_12V;D;12v;Day2;4;-0,190609263;0,219062575
AF151;B1_12V;B;12v;Day1;5;0,094276769;-0,153222808
AF152;I2_12V;I;12v;Day2;5;-0,040781853;0,224897375
AF155;E3_12V;E;12v;Day3;3;0,264858846;0,171721725
AF160;F2_12V;F;12v;Day2;2;-0,284824093;0,281369143
AF162;J1_12V;J;12v;Day1;10;0,287769629;0,018265218
AF164;G1_12V;G;12v;Day1;5;-0,128467187;-0,054397111
AF166;C3_12V;C;12v;Day3;7;0,10618309;0,238755707
AF173;H3_12V;H;12v;Day3;11;0,404169137;-0,017296066
AF181;C2_12V;C;12v;Day2;4;-0,001964765;0,235543915
AF2;B3_12V;B;12v;Day3;12;0,22196234;-0,036339432
AF20;D1_12V;D;12v;Day1;2;-0,215323063;-0,2958136
AF31;A1_12V;A;12v;Day1;4;-0,168447412;0,225310313
AF37;H2_12V;H;12v;Day2;6;0,315516533;-0,022713867
AF48;A3_12V;A;12v;Day3;8;0,184219564;0,269374746
AF49;C1_12V;C;12v;Day1;9;0,055544002;-0,051468874
AF52;G2_12V;G;12v;Day2;4;0,039572461;0,259555249
AF67;F3_12V;F;12v;Day3;10;0,206009845;0,198391694
AF72;J2_12V;J;12v;Day2;5;0,083688969;-0,009778491
AF80;F1_12V;F;12v;Day1;4;-0,170023537;-0,050984764
AF86;I1_12V;I;12v;Day1;4;0,000230478;0,038121722
AF90;D3_12V;D;12v;Day3;8;0,27863103;0,153385769
AF91;E1_12V;E;12v;Day1;7;0,009657407;0,014537709
AF1;I1_12VX5;I;12v_5;Day1;2;-0,358004884;0,019399528
AF103;G1_12VX5;G;12v_5;Day1;6;-0,11312203;-0,020421659
AF104;C3_12VX5;C;12v_5;Day3;5;0,102905019;-0,091902949
AF119;F2_12VX5;F;12v_5;Day2;2;-0,146374288;-0,145080504
AF124;C2_12VX5;C;12v_5;Day2;4;-0,118762697;-0,371152668
AF147;E2_12VX5;E;12v_5;Day2;2;-0,166446315;0,334449873
AF16;I3_12VX5;I;12v_5;Day3;7;0,146508071;0,222897125
AF168;H1_12VX5;H;12v_5;Day1;5;-0,023176339;0,075899223
AF169;F1_12VX5;F;12v_5;Day1;4;-0,326460544;-0,023795586
AF177;D1_12VX5;D;12v_5;Day1;5;0,01531358;-0,305450268
AF22;G3_12VX5;G;12v_5;Day3;5;0,21010123;-0,165626768
AF27;C1_12VX5;C;12v_5;Day1;5;0,03207945;-0,230240869
AF3;H2_12VX5;H;12v_5;Day2;9;0,308962731;-0,00294818
