OTU;SampleID;SampleSite;SampleType;Date;Taxa2;Taxa3;Taxa5;Taxa6;Taxa7;Taxa8;Taxa9;Taxa10;Taxa11;Taxa12;Taxa14;Taxa15;Taxa16;Taxa17;Taxa18;Taxa19;Taxa20;Taxa21;Taxa22;Taxa23;Taxa24;Taxa25;Taxa26;Taxa27;Taxa28;Taxa29;Taxa30;Taxa31;Taxa33;Taxa37;Taxa39;Taxa40;Taxa41;Taxa43;Taxa44;Taxa45
AF1;I1_12VX5;I;12v_5;Day1;10919;0;0;0;0;0;0;0;0;0;0;1604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF103;G1_12VX5;G;12v_5;Day1;9343;0;0;0;4612;0;2702;0;0;0;0;0;0;0;0;4959;0;0;818;0;0;0;0;3900;0;0;0;0;0;0;0;0;0;0;0;0
AF104;C3_12VX5;C;12v_5;Day3;5851;3350;0;1415;0;0;0;12329;0;0;0;0;3432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF119;F2_12VX5;F;12v_5;Day2;7148;0;0;0;0;0;0;7335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF124;C2_12VX5;C;12v_5;Day2;4241;0;0;0;0;1150;0;0;4070;0;0;0;0;0;0;0;1161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF147;E2_12VX5;E;12v_5;Day2;20920;3613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF16;I3_12VX5;I;12v_5;Day3;16402;6671;0;5044;0;5902;0;3140;0;0;0;1359;0;0;0;0;0;0;0;0;0;0;2174;0;0;0;0;0;0;0;0;0;0;0;0;0
AF168;H1_12VX5;H;12v_5;Day1;13003;0;0;0;0;8563;5709;0;0;0;0;0;0;0;0;0;3713;0;0;3512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF169;F1_12VX5;F;12v_5;Day1;9728;0;0;0;0;0;0;0;0;0;0;1139;0;0;1715;0;0;1195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF177;D1_12VX5;D;12v_5;Day1;3032;0;0;0;0;3346;0;0;3059;0;0;0;3159;0;0;0;2395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF22;G3_12VX5;G;12v_5;Day3;4118;4074;0;5079;0;5830;0;0;0;0;0;2545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF27;C1_12VX5;C;12v_5;Day1;4471;0;0;0;0;7443;0;0;0;1955;0;0;0;0;0;0;0;0;0;0;0;2133;0;0;0;0;0;0;4300;0;0;0;0;0;0;0
AF3;H2_12VX5;H;12v_5;Day2;7622;27367;0;0;0;3586;1974;0;0;0;0;0;0;0;4216;0;0;549;0;0;0;0;672;0;0;0;2554;0;5038;0;0;0;0;0;0;0
AF33;E1_12VX5;E;12v_5;Day1;4400;0;0;0;0;3267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF41;H3_12VX5;H;12v_5;Day3;0;26143;0;6003;0;4514;2314;0;0;1318;0;0;0;0;0;0;1793;0;0;0;3497;0;0;0;0;0;0;0;0;3645;0;0;0;0;0;0
AF43;A2_12VX5;A;12v_5;Day2;5337;0;0;0;0;0;0;0;9397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF46;F3_12VX5;F;12v_5;Day3;9006;14975;0;10417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF51;A1_12VX5;A;12v_5;Day1;8045;0;0;0;0;0;0;0;4798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF62;B2_12VX5;B;12v_5;Day2;7788;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5041;0;0;0;0;0;0;0;0;0;0
AF66;I2_12VX5;I;12v_5;Day2;8997;0;0;0;0;0;0;0;0;0;3288;0;0;0;1980;0;0;1874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF70;J1_12VX5;J;12v_5;Day1;6521;0;0;0;0;11430;0;0;0;0;0;0;0;0;0;0;8629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF77;J3_12VX5;J;12v_5;Day3;31307;0;0;0;0;4567;0;0;0;5307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3222;0;0;0;0;0;0;0;0
AF78;B1_12VX5;B;12v_5;Day1;36996;0;0;0;0;0;0;2737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4435;0;0;0;0;0
AF8;J2_12VX5;J;12v_5;Day2;1906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF81;A3_12VX5;A;12v_5;Day3;14677;0;0;0;0;0;0;5980;0;9760;0;0;0;0;0;5118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF82;D3_12VX5;D;12v_5;Day3;4700;3463;21274;0;0;0;0;0;12795;0;0;3665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF85;G2_12VX5;G;12v_5;Day2;10434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF95;B3_12VX5;B;12v_5;Day3;4859;7609;0;4989;0;7373;2350;10439;0;2535;1195;0;0;0;4533;0;2601;0;0;4561;0;0;0;0;0;3042;0;0;0;0;0;0;0;0;0;0
AF97;E3_12VX5;E;12v_5;Day3;15244;9354;0;4449;0;0;0;4458;0;0;0;1968;0;0;10132;1518;0;3336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF83;E3_12VP;E;12vP;Day3;0;0;493304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF88;A3_12VP;A;12vP;Day3;111173;22528;0;171703;85586;0;20261;11011;37263;26118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220;0;0;0;0;0;0;1065;1048;396
AF110;I2_5V;I;5v;Day2;4861;8895;0;0;0;12359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF111;A2_5V;A;5v;Day2;10145;0;0;0;0;0;0;0;0;0;0;0;0;0;2637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2835;0;0;0;0
AF120;A1_5V;A;5v;Day1;6710;0;0;0;0;0;0;0;3158;0;0;0;0;0;6100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF127;E3_5V;E;5v;Day3;10882;8976;0;0;0;0;0;0;0;0;0;3287;3463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF133;I3_5V;I;5v;Day3;0;7216;3981;0;0;3694;14038;0;0;0;0;0;0;0;0;0;3797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF135;B1_5V;B;5v;Day1;10278;4767;0;0;0;0;0;12242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF172;F3_5V;F;5v;Day3;7124;6154;0;0;0;0;0;0;0;0;6649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF179;D2_5V;D;5v;Day2;11712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF21;B2_5V;B;5v;Day2;13248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF26;G3_5V;G;5v;Day3;8344;9883;0;3417;0;0;0;0;0;7541;0;0;0;0;0;1921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF29;C3_5V;C;5v;Day3;8573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
